# Notas del blog ya procesadas por el correo (scripts/correo-blog/).
# archivo	estado	fecha UTC — estados: base, enviado, parcial, omitido
2026-07-11-chequeos-por-edad.md	base	2026-09-24T16:55Z
2026-07-12-carencia-copago-y-otras-palabras.md	base	2026-09-24T16:55Z
2026-07-13-como-elegir-plan-familia.md	base	2026-09-24T16:55Z
2026-07-16-como-elegir-plan-de-salud-paraguay.md	base	2026-09-24T16:55Z
2026-07-16-gasto-de-bolsillo-salud-paraguay.md	base	2026-09-24T16:55Z
2026-07-16-virus-respiratorios-invierno-2026.md	base	2026-09-24T16:55Z
2026-07-20-cobertura-de-salud-en-el-interior.md	base	2026-09-24T16:55Z
2026-07-20-como-funciona-cobertura-medicamentos.md	base	2026-09-24T16:55Z
2026-07-20-vivimos-14-anos-mas.md	base	2026-09-24T16:55Z
2026-07-22-por-que-sube-el-costo-de-la-salud.md	base	2026-09-24T16:55Z
2026-07-23-resolver-cobertura-de-salud-antes-de-necesitarla.md	base	2026-09-24T16:55Z
2026-07-25-chequeo-anual-de-vista-despues-de-los-40.md	base	2026-09-24T16:55Z
2026-07-26-subsidio-reposo-medico-ips-tramite-digital.md	base	2026-09-24T16:55Z
2026-07-27-primer-control-bebe-recien-nacido.md	base	2026-09-24T16:55Z
2026-07-29-que-hace-que-un-hospital-este-listo-para-una-emergencia.md	base	2026-09-24T16:55Z
2026-07-30-por-que-sube-el-seguro-cuando-cambian-los-subsidios.md	base	2026-09-24T16:55Z
2026-07-31-que-hace-que-una-escuela-sea-saludable.md	base	2026-09-24T16:55Z
2026-08-01-jornada-solidaria-lista-espera-cirugias.md	base	2026-09-24T16:55Z
2026-08-02-por-que-una-aseguradora-recorta-planes-que-mirar.md	base	2026-09-24T16:55Z
2026-08-03-encuesta-domiciliaria-fiebre-amarilla-que-esperar.md	base	2026-09-24T16:55Z
2026-08-04-pocos-paraguayos-con-plan-de-salud-privado.md	base	2026-09-24T16:55Z
2026-08-06-el-numero-detras-del-costo-medico.md	base	2026-09-24T16:55Z
